character,unicode,type,stroke_count,radical,code,note
一,U+4E00,han,1,一,C2,
丿,U+4E3F,han,1,丿,C2,
乁,U+4E41,han,1,丿,,
乙,U+4E59,han,1,乙,C2,
㐅,U+3405,han,2,丿,,
丁,U+4E01,han,2,一,C2,
丂,U+4E02,han,2,一,,
七,U+4E03,han,2,一,C2,
丄,U+4E04,han,2,一,,
丅,U+4E05,han,2,一,,
丆,U+4E06,han,2,一,,
丩,U+4E29,han,2,丨,,
乂,U+4E42,han,2,丿,C1,
乃,U+4E43,han,2,丿,C2,
九,U+4E5D,han,2,乙,,
了,U+4E86,han,2,亅,C2,
二,U+4E8C,han,2,二,C2,
人,U+4EBA,han,2,人,,
入,U+5165,han,2,入,C2,
八,U+516B,han,2,八,A1,
几,U+51E0,han,2,几,C2,
刀,U+5200,han,2,刀,A2,
刁,U+5201,han,2,刀,C2,
力,U+529B,han,2,力,C2,
十,U+5341,han,2,十,C1,
卜,U+535C,han,2,卜,C1,
又,U+53C8,han,2,又,,
巜,U+5DDC,han,2,巛,,
万,U+4E07,han,3,一,,
丈,U+4E08,han,3,一,A2,
三,U+4E09,han,3,一,C1,
上,U+4E0A,han,3,一,,
下,U+4E0B,han,3,一,A1,
丌,U+4E0C,han,3,一,,
丫,U+4E2B,han,3,丨,,
丸,U+4E38,han,3,丶,A2,
久,U+4E45,han,3,丿,,
乆,U+4E46,han,3,丿,,
乇,U+4E47,han,3,丿,,
么,U+4E48,han,3,丿,,
之,U+4E4B,han,3,丿,C1,
乞,U+4E5E,han,3,乙,C2,
也,U+4E5F,han,3,乙,C2,
亇,U+4E87,han,3,亅,C1,
于,U+4E8E,han,3,二,C1,
亡,U+4EA1,han,3,亠,,
亼,U+4EBC,han,3,人,,
亾,U+4EBE,han,3,人,,
兀,U+5140,han,3,儿,C2,
兦,U+5166,han,3,入,,
凡,U+51E1,han,3,几,A1,
凢,U+51E2,han,3,丿,,
刃,U+5203,han,3,刀,,
刄,U+5204,han,3,刀,,
勺,U+52FA,han,3,勹,C2,
卂,U+5342,han,3,十,,
千,U+5343,han,3,十,A1,
卄,U+5344,han,3,一,,
叉,U+53C9,han,3,又,C2,
及,U+53CA,han,3,又,C2,
口,U+53E3,han,3,口,,
土,U+571F,han,3,土,C1,
士,U+58EB,han,3,士,C2,
夕,U+5915,han,3,夕,A1,
大,U+5927,han,3,大,A2,
女,U+5973,han,3,女,C2,
子,U+5B50,han,3,子,C1,
孑,U+5B51,han,3,子,,
寸,U+5BF8,han,3,寸,C2,
小,U+5C0F,han,3,小,A2,
山,U+5C71,han,3,山,A1,
川,U+5DDD,han,3,巛,C1,
工,U+5DE5,han,3,工,C2,
己,U+5DF1,han,3,己,C2,
已,U+5DF2,han,3,己,C2,
巳,U+5DF3,han,3,己,A1,
巾,U+5DFE,han,3,巾,A1,
干,U+5E72,han,3,干,A1,
弓,U+5F13,han,3,弓,A1,
才,U+624D,han,3,手,C2,
㓁,U+34C1,han,4,冖,,
㝉,U+3749,han,4,宀,,
㞢,U+37A2,han,4,屮,,
𠤏,U+2090F,han,4,匕,,
𣎴,U+233B4,han,4,木,,
不,U+4E0D,han,4,一,,
丐,U+4E10,han,4,一,C1,
丑,U+4E11,han,4,一,C2,
中,U+4E2D,han,4,丨,A2,
丮,U+4E2E,han,4,丨,,
丯,U+4E2F,han,4,丨,,
丰,U+4E30,han,4,丨,C1,
丹,U+4E39,han,4,丶,A1,
乏,U+4E4F,han,4,丿,C2,
乢,U+4E62,han,4,乙,,
予,U+4E88,han,4,亅,,
云,U+4E91,han,4,二,A1,
互,U+4E92,han,4,二,,
五,U+4E94,han,4,二,,
井,U+4E95,han,4,二,C2,
亢,U+4EA2,han,4,亠,,
什,U+4EC0,han,4,人,C2,
仁,U+4EC1,han,4,人,A1,
仂,U+4EC2,han,4,人,,
仃,U+4EC3,han,4,人,C2,
仄,U+4EC4,han,4,人,C2,
仇,U+4EC7,han,4,人,A1,
仈,U+4EC8,han,4,人,,
仉,U+4EC9,han,4,人,F2,
今,U+4ECA,han,4,人,C2,
介,U+4ECB,han,4,人,,
仌,U+4ECC,han,4,人,,
仍,U+4ECD,han,4,人,C2,
以,U+4EE5,han,4,人,,
允,U+5141,han,4,儿,,
元,U+5143,han,4,儿,,
內,U+5167,han,4,入,,
公,U+516C,han,4,八,A1,
六,U+516D,han,4,八,C2,
兮,U+516E,han,4,八,C1,
冃,U+5183,han,4,冂,,
円,U+5186,han,4,冂,,
冗,U+5197,han,4,冖,C2,
冘,U+5198,han,4,冖,A1,
凶,U+51F6,han,4,凵,A1,
刅,U+5205,han,4,刀,,
分,U+5206,han,4,刀,C1,
切,U+5207,han,4,刀,C2,
刈,U+5208,han,4,刀,,
勻,U+52FB,han,4,勹,,
勼,U+52FC,han,4,勹,,
勽,U+52FD,han,4,勹,,
勾,U+52FE,han,4,勹,C1,
勿,U+52FF,han,4,勹,C2,
匂,U+5302,han,4,勹,,
化,U+5316,han,4,匕,C2,
匹,U+5339,han,4,匸,,
卅,U+5345,han,4,十,,
卆,U+5346,han,4,十,,
升,U+5347,han,4,十,A1,
午,U+5348,han,4,十,C2,
卍,U+534D,han,4,十,,
卐,U+5350,han,4,十,,
卝,U+535D,han,4,卜,,
卞,U+535E,han,4,卜,C2,
卬,U+536C,han,4,卩,,
厃,U+5383,han,4,厂,,
厄,U+5384,han,4,厂,A1,
厷,U+53B7,han,4,十,,
厹,U+53B9,han,4,厶,,
友,U+53CB,han,4,又,,
双,U+53CC,han,4,又,C1,
反,U+53CD,han,4,又,A1,
圠,U+5720,han,4,土,,
壬,U+58EC,han,4,士,,
夃,U+5903,han,4,夂,,
天,U+5929,han,4,大,A1,
太,U+592A,han,4,大,C1,
夫,U+592B,han,4,大,C2,
夭,U+592D,han,4,大,C1,
孔,U+5B54,han,4,子,C2,
少,U+5C11,han,4,小,C2,
尤,U+5C24,han,4,尢,,
尹,U+5C39,han,4,丿,,
尺,U+5C3A,han,4,尸,C2,
屯,U+5C6F,han,4,屮,C2,
巨,U+5DE8,han,4,工,C2,
巴,U+5DF4,han,4,己,C1,
巿,U+5DFF,han,4,巾,,
幻,U+5E7B,han,4,幺,A1,
廿,U+5EFF,han,4,廾,,
弔,U+5F14,han,4,弓,,
引,U+5F15,han,4,弓,A1,
心,U+5FC3,han,4,心,C2,
戈,U+6208,han,4,戈,A1,
戶,U+6236,han,4,戶,,
手,U+624B,han,4,手,,
扎,U+624E,han,4,手,C2,
支,U+652F,han,4,支,C2,
文,U+6587,han,4,文,A1,
斗,U+6597,han,4,斗,A2,
斤,U+65A4,han,4,斤,A1,
方,U+65B9,han,4,方,C2,
旡,U+65E1,han,4,无,,
