Character,Unicode,Type,StrokeCount,Radical,CurrentIDS,Structure,Semantic,Phonetic,Notes
丈,U+4E08,han,3,一,,,,,
久,U+4E45,han,3,丿,,,,,
也,U+4E5F,han,3,乙,,,,,
于,U+4E8E,han,3,二,,,,,
及,U+53CA,han,3,又,,,,,
口,U+53E3,han,3,口,,,,,
女,U+5973,han,3,女,,,,,
子,U+5B50,han,3,子,,,,,
孑,U+5B51,han,3,子,,,,,
寸,U+5BF8,han,3,寸,,,,,
小,U+5C0F,han,3,小,,,,,
山,U+5C71,han,3,山,,,,,
川,U+5DDD,han,3,巛,,,,,
工,U+5DE5,han,3,工,,,,,
己,U+5DF1,han,3,己,,,,,
已,U+5DF2,han,3,己,,,,,
巳,U+5DF3,han,3,己,,,,,
巾,U+5DFE,han,3,巾,,,,,
干,U+5E72,han,3,干,,,,,
弓,U+5F13,han,3,弓,,,,,
才,U+624D,han,3,手,,,,,
丐,U+4E10,han,4,一,,,,,
丑,U+4E11,han,4,一,,,,,
丹,U+4E39,han,4,丶,,,,,
井,U+4E95,han,4,二,,,,,
以,U+4EE5,han,4,人,,,,,
円,U+5186,han,4,冂,,,,,
冘,U+5198,han,4,冖,,,,,
卍,U+534D,han,4,十,,,,,
卐,U+5350,han,4,十,,,,,
卝,U+535D,han,4,卜,,,,,
尺,U+5C3A,han,4,尸,,,,,
巨,U+5DE8,han,4,工,,,,,
巴,U+5DF4,han,4,己,,,,,
廿,U+5EFF,han,4,廾,,,,,
心,U+5FC3,han,4,心,,,,,
手,U+624B,han,4,手,,,,,
斗,U+6597,han,4,斗,,,,,
旡,U+65E1,han,4,无,,,,,
日,U+65E5,han,4,日,,,,,
曰,U+66F0,han,4,曰,,,,,
月,U+6708,han,4,月,,,,,
木,U+6728,han,4,木,,,,,
欠,U+6B20,han,4,欠,,,,,
止,U+6B62,han,4,止,,,,,
毋,U+6BCB,han,4,毋,,,,,
毌,U+6BCC,han,4,毋,,,,,
比,U+6BD4,han,4,比,,,,,
氏,U+6C0F,han,4,氏,,,,,
片,U+7247,han,4,片,,,,,
牙,U+7259,han,4,牙,,,,,
牛,U+725B,han,4,牛,,,,,
犬,U+72AC,han,4,犬,,,,,
瓦,U+74E6,han,4,瓦,,,,,
㠯,U+382F,han,5,己,,,,,
𠀍,U+2000D,han,5,一,,,,,
且,U+4E14,han,5,一,,,,,
世,U+4E16,han,5,一,,,,,
丘,U+4E18,han,5,一,,,,,
乍,U+4E4D,han,5,丿,,,,,
乎,U+4E4E,han,5,丿,,,,,
冉,U+5189,han,5,冂,,,,,
凸,U+51F8,han,5,凵,,,,,
凹,U+51F9,han,5,凵,,,,,
史,U+53F2,han,5,口,,,,,
央,U+592E,han,5,大,,,,,
戊,U+620A,han,5,戈,,,,,
未,U+672A,han,5,木,,,,,
末,U+672B,han,5,木,,,,,
本,U+672C,han,5,木,,,,,
母,U+6BCD,han,5,毋,,,,,
民,U+6C11,han,5,氏,,,,,
永,U+6C38,han,5,水,,,,,
瓜,U+74DC,han,5,瓜,,,,,
甘,U+7518,han,5,甘,,,,,
生,U+751F,han,5,生,,,,,
田,U+7530,han,5,田,,,,,
由,U+7531,han,5,田,,,,,
甲,U+7532,han,5,田,,,,,
申,U+7533,han,5,田,,,,,
白,U+767D,han,5,白,,,,,
皮,U+76AE,han,5,皮,,,,,
目,U+76EE,han,5,目,,,,,
示,U+793A,han,5,示,,,,,
󰔶,U+F0536,han,6,十,,,,,
乑,U+4E51,han,6,丿,,,,,
兆,U+5146,han,6,儿,,,,,
州,U+5DDE,han,6,巛,,,,,
年,U+5E74,han,6,干,,,,,
曲,U+66F2,han,6,曰,,,,,
曳,U+66F3,han,6,曰,,,,,
朱,U+6731,han,6,木,,,,,
朿,U+673F,han,6,木,,,,,
米,U+7C73,han,6,米,,,,,
耳,U+8033,han,6,耳,,,,,
肉,U+8089,han,6,肉,,,,,
臣,U+81E3,han,6,臣,,,,,
自,U+81EA,han,6,自,,,,,
臼,U+81FC,han,6,臼,,,,,
舟,U+821F,han,6,舟,,,,,
艮,U+826E,han,6,艮,,,,,
虫,U+866B,han,6,虫,,,,,
𰨛,U+30A1B,han,7,禾,,,,,
丣,U+4E23,han,7,酉,,,,,
我,U+6211,han,7,戈,,,,,
束,U+675F,han,7,木,,,,,
来,U+6765,han,7,木,,,,,
角,U+89D2,han,7,角,,,,,
言,U+8A00,han,7,言,,,,,
谷,U+8C37,han,7,谷,,,,,
豆,U+8C46,han,7,豆,,,,,
身,U+8EAB,han,7,身,,,,,
車,U+8ECA,han,7,車,,,,,
酉,U+9149,han,7,酉,,,,,
󰦄,U+F0984,han,8,文,,,,,
事,U+4E8B,han,8,亅,,,,,
戼,U+623C,han,8,戶,,,,,
承,U+627F,han,8,手,,,,,
東,U+6771,han,8,木,,,,,
疌,U+758C,han,8,疋,,,,,
非,U+975E,han,8,非,,,,,
乗,U+4E57,han,9,丿,,,,,
柬,U+67EC,han,9,木,,,,,
為,U+70BA,han,9,火,,,,,
禹,U+79B9,han,9,禸,,,,,
禺,U+79BA,han,9,禸,,,,,
重,U+91CD,han,9,里,,,,,
革,U+9769,han,9,革,,,,,
頁,U+9801,han,9,頁,,,,,
飛,U+98DB,han,9,飛,,,,,
𰤷,U+30937,han,10,皿,,,,,
𱝅,U+31745,han,10,广,,,,,
𠁁,U+20041,han,11,一,,,,,
𰜈,U+30708,han,11,水,,,,,
𱹮,U+31E6E,han,11,糸,,,,,
粛,U+7C9B,han,11,米,,,,,
爲,U+7232,han,12,爪,,,,,
𱀪,U+3102A,han,13,阜,,,,,
肅,U+8085,han,13,聿,,,,,
熏,U+718F,han,14,火,,,,,
龜,U+9F9C,han,16,龜,,,,,
𲄀,U+32100,han,17,足,,,,,
󰡳,U+F0873,han,18,鬼,,,,,
𲎭,U+323AD,han,19,竜,,,,,
㔾,U+353E,nom,3,卩,,,,,
𠂎,U+2008E,nom,3,丿,,,,,
𠃓,U+200D3,nom,3,乚,,,,,
𪜀,U+2A700,nom,3,一,,,,,
𱍸,U+31378,nom,3,丿,,,,,
⺌,U+2E8C,nom,3,,,,,,
丬,U+4E2C,nom,3,丨,,,,,
乡,U+4E61,nom,3,乡,,,,,
孒,U+5B52,nom,3,子,,,,,
