Character,Unicode,Type,StrokeCount,Radical,CurrentIDS,Structure,Semantic,Phonetic,Notes
之,U+4E4B,han,3,丿,⿱丶②,,,,has placeholder ref — replace CurrentIDS with full decomposition
不,U+4E0D,han,4,一,⿱一③,,,,has placeholder ref — replace CurrentIDS with full decomposition
卬,U+536C,han,4,卩,⿰②卩,,,,has placeholder ref — replace CurrentIDS with full decomposition
北,U+5317,han,5,匕,⿰③匕,,,,has placeholder ref — replace CurrentIDS with full decomposition
印,U+5370,han,5,卩,⿰③卩,,,,has placeholder ref — replace CurrentIDS with full decomposition
亙,U+4E99,han,6,二,⿳一④一,,,,has placeholder ref — replace CurrentIDS with full decomposition
亦,U+4EA6,han,6,亠,⿱亠④,,,,has placeholder ref — replace CurrentIDS with full decomposition
在,U+5728,han,6,土,⿸③土,,,,has placeholder ref — replace CurrentIDS with full decomposition
存,U+5B58,han,6,子,⿸③子,,,,has placeholder ref — replace CurrentIDS with full decomposition
延,U+5EF6,han,6,廴,⿺廴⿱丿③,,,,has placeholder ref — replace CurrentIDS with full decomposition
𦈢,U+26222,han,7,缶,⿱𠂉⿻一③,,,,has placeholder ref — replace CurrentIDS with full decomposition
免,U+514D,han,7,儿,⿱𠂊⑤,,,,has placeholder ref — replace CurrentIDS with full decomposition
兎,U+514E,han,7,儿,⿱丿⿷⑤丶,,,,has placeholder ref — replace CurrentIDS with full decomposition
即,U+5373,han,7,卩,⿰⑤卩,,,,has placeholder ref — replace CurrentIDS with full decomposition
赤,U+8D64,han,7,赤,⿱土④,,,,has placeholder ref — replace CurrentIDS with full decomposition
亞,U+4E9E,han,8,二,⿳一⑥一,,,,has placeholder ref — replace CurrentIDS with full decomposition
其,U+5176,han,8,八,⿱⿱⑤一八,,,,has placeholder ref — replace CurrentIDS with full decomposition
典,U+5178,han,8,八,⿱⑥八,,,,has placeholder ref — replace CurrentIDS with full decomposition
垂,U+5782,han,8,土,⿳丿⑥一,,,,has placeholder ref — replace CurrentIDS with full decomposition
郎,U+90CE,han,8,邑,⿰⿱丶⑤阝,,,,has placeholder ref — replace CurrentIDS with full decomposition
長,U+9577,han,8,長,⿳④一⿰𠄌⿺乀丿,,,,has placeholder ref — replace CurrentIDS with full decomposition
既,U+65E2,han,9,无,⿰⑤旡,,,,has placeholder ref — replace CurrentIDS with full decomposition
段,U+6BB5,han,9,殳,⿰⑤殳,,,,has placeholder ref — replace CurrentIDS with full decomposition
甚,U+751A,han,9,甘,⿱⑤匹,,,,has placeholder ref — replace CurrentIDS with full decomposition
骨,U+9AA8,han,9,骨,⿱⑤月,,,,has placeholder ref — replace CurrentIDS with full decomposition
兼,U+517C,han,10,八,⿱䒑⿻⿻コ一④,,,,has placeholder ref — replace CurrentIDS with full decomposition
