Character,Unicode,Type,StrokeCount,Radical,Reading,Canonical,CanonicalUnicode,Notes
丨,U+4E28,both,1,丨,cổn,"","",""
丶,U+4E36,both,1,丶,chủ,"","",""
乀,U+4E40,both,1,丿,phật,"","",""
亅,U+4E85,both,1,亅,quyết,"","",""
亠,U+4EA0,both,2,亠,đầu,"","",""
冖,U+5196,both,2,冖,mịch,"","",""
凵,U+51F5,both,2,凵,khảm,"","",""
匕,U+5315,both,2,匕,chuỷ,"","",""
匚,U+531A,both,2,匚,hệ,"","",""
匸,U+5338,both,2,匸,phương,"","",""
厂,U+5382,both,2,厂,hán,"","",""
廴,U+5EF4,both,2,廴,dẫn,"","",""
𫜹,U+2B739,both,3,彐,kẹ,"","",""
亍,U+4E8D,both,3,二,súc,"","",""
囗,U+56D7,both,3,囗,vi,"","",""
夂,U+5902,both,3,夂,truy,"","",""
夊,U+590A,both,3,夂,truy,"","",""
孓,U+5B53,both,3,子,quyết,"","",""
宀,U+5B80,both,3,宀,miên,"","",""
屮,U+5C6E,both,3,屮,triệt,"","",""
广,U+5E7F,both,3,广,nghiễm,"","",""
廾,U+5EFE,both,3,廾,củng,"","",""
彡,U+5F61,both,3,彡,sam,"","",""
彳,U+5F73,both,3,彳,sách,"","",""
飞,U+98DE,both,3,飞,phi,"","",""
𲋄,U+322C4,both,4,𲋄,phong,"","",""
丏,U+4E0F,both,4,一,miện,"","",""
仆,U+4EC6,both,4,人,bọc,"","",""
内,U+5185,both,4,冂,nòi,"","",""
凤,U+51E4,both,4,几,phượng,"","",""
夬,U+592C,both,4,大,quái,"","",""
气,U+6C14,both,4,气,khí,"","",""
爻,U+723B,both,4,爻,hào,"","",""
丱,U+4E31,both,5,丨,quán,"","",""
仡,U+4EE1,both,5,人,ngất,"","",""
册,U+518C,both,5,冂,sách,"","",""
劢,U+52A2,both,5,力,mại,"","",""
叶,U+53F6,both,5,口,diệp,"","",""
宄,U+5B84,both,5,宀,quỹ,"","",""
朮,U+672E,both,5,木,thuật,"","",""
疒,U+7592,both,5,疒,nạch,"","",""
癶,U+7676,both,5,癶,bát,"","",""
皿,U+76BF,both,5,皿,mãnh,"","",""
禸,U+79B8,both,5,禸,nhựu,"","",""
罒,U+7F52,both,5,罒,võng,"","",""
艽,U+827D,both,5,艹,giao,"","",""
龱,U+9FB1,both,5,囗,đồ,"","",""
𢩾,U+22A7E,both,6,手,chộp,"","",""
𫢋,U+2B88B,both,6,人,phật,"","",""
亘,U+4E98,both,6,二,cắng,"","",""
价,U+4EF7,both,6,人,giá,"","",""
刖,U+5216,both,6,刀,nguyệt,"","",""
卋,U+534B,both,6,十,thế,"","",""
卮,U+536E,both,6,卩,chi,"","",""
吓,U+5413,both,6,口,hách,"","",""
囝,U+56DD,both,6,囗,cưởng,"","",""
圮,U+572E,both,6,土,bĩ,"","",""
圯,U+572F,both,6,土,dãy,"","",""
妁,U+5981,both,6,女,chước,"","",""
弎,U+5F0E,both,6,弋,tam,"","",""
氽,U+6C3D,both,6,入,thoản,"","",""
氾,U+6C3E,both,6,水,phiếm,"","",""
汆,U+6C46,both,6,入,thoản,"","",""
汍,U+6C4D,both,6,水,hoàn,"","",""
牝,U+725D,both,6,牜,tẫn,"","",""
穵,U+7A75,both,6,穴,oạt,"","",""
聿,U+807F,both,6,肀,duật,"","",""
舛,U+821B,both,6,舛,suyễn,"","",""
芃,U+8283,both,6,艹,bông,"","",""
虍,U+864D,both,6,虍,hổ,"","",""
襾,U+897E,both,6,覀,á,"","",""
阯,U+962F,both,6,阜,chỉ,"","",""
𠯻,U+20BFB,both,7,口,ào,"","",""
𡇅,U+211C5,both,7,囗,vuông,"","",""
𢗼,U+225FC,both,7,心,lo,"","",""
𥘑,U+25611,both,7,示,hoạ,"","",""
㶤,U+3DA4,both,7,火,tạch,"","",""
䒜,U+449C,both,7,艹,ngâu,"","",""
兕,U+5155,both,7,儿,tỉ,"","",""
劭,U+52AD,both,7,力,thiệu,"","",""
卣,U+5363,both,7,卜,dữu,"","",""
卲,U+5372,both,7,卩,ngoẹo,"","",""
吪,U+542A,both,7,口,hoé,"","",""
启,U+542F,both,7,户,khải,"","",""
呐,U+5450,both,7,口,nói,"","",""
呙,U+5459,both,7,口,oa,"","",""
囫,U+56EB,both,7,囗,hốt,"","",""
围,U+56F4,both,7,囗,vay,"","",""
圼,U+573C,both,7,土,niết,"","",""
姒,U+59D2,both,7,女,tự,"","",""
尪,U+5C2A,both,7,王,uông,"","",""
巵,U+5DF5,both,7,己,chi,"","",""
弃,U+5F03,both,7,廾,khí,"","",""
忮,U+5FEE,both,7,心,kĩ,"","",""
扺,U+627A,both,7,手,chỉ,"","",""
抈,U+6288,both,7,手,ngoắt,"","",""
抛,U+629B,both,7,手,phao,"","",""
杌,U+674C,both,7,木,ngột,"","",""
沆,U+6C86,both,7,水,hàng,"","",""
牣,U+7263,both,7,牜,nhận,"","",""
狃,U+72C3,both,7,犬,nữu,"","",""
